,name_vacancy,salary_min,salary_max,salary_currency,url_vacancy,source
83,Грузчик-курьер,50 000,65 000,руб.,https://hh.ru/vacancy/41611351?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
84,Курьер в Яндекс,47 000,102 000,руб.,https://hh.ru/vacancy/47123835?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
85,Водитель-курьер на личном автомобиле (ул. Рябиновая),47 000,120 000,руб.,https://hh.ru/vacancy/46479023?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
86,Водитель-курьер на автомобиле компании,,120 000,руб.,https://hh.ru/vacancy/46025032?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
87,"Курьер пеший( без продаж, метро Тушинская)",35 000,35 000,руб.,https://hh.ru/vacancy/44867551?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
88,Водитель-курьер (выходного дня),,35 000,руб.,https://hh.ru/vacancy/45263689?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
89,Водитель-курьер,90 000,110 000,руб.,https://hh.ru/vacancy/46891649?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
90,Водитель-курьер на автомобиле компании (м.Марьина Роща),90 000,120 000,руб.,https://hh.ru/vacancy/46607328?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
91,Водитель-курьер на личном автомобиле(м.Дубровка),90 000,120 000,руб.,https://hh.ru/vacancy/46483137?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
92,Курьер по району (свободный график),90 000,60 000,руб.,https://hh.ru/vacancy/44621349?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
93,Курьер,25 000,35 000,руб.,https://hh.ru/vacancy/47294605?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
